Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Alberto Paloschi,Forward,23,AC Milan,Serie A,Chievo Verona,Serie A,12-13,5000000,6500000
Emmanuel Adebayor,Forward,28,Man City,Premier League,Spurs,Premier League,12-13,25000000,6400000
Mathieu Debuchy,Defender,27,LOSC Lille,Ligue 1,Newcastle,Premier League,12-13,15000000,6200000
Charlie Adam,Midfielder,26,Liverpool,Premier League,Stoke City,Premier League,12-13,8000000,6200000
Gregory van der Wiel,Defender,24,AFC Ajax,Eredivisie,Paris SG,Ligue 1,12-13,9000000,6000000
Stéphane Mbia,Midfielder,26,Marseille,Ligue 1,QPR,Premier League,12-13,9000000,6000000
Rasmus Elm,Midfielder,24,AZ Alkmaar,Eredivisie,CSKA Moscow,Premier Liga,12-13,8000000,6000000
Aly Cissokho,Defender,24,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,12-13,7000000,6000000
Vágner Love,Forward,28,Flamengo,Série A,CSKA Moscow,Premier Liga,12-13,6500000,6000000
Iván Ramis,Defender,27,RCD Mallorca,LaLiga,Wigan,Premier League,12-13,6000000,6000000
Wálter Montillo,Midfielder,28,Cruzeiro,Série A,Santos FC,Série A,12-13,5000000,6000000
Modibo Maïga,Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,12-13,5000000,6000000
Luc Castaignos,Forward,19,Inter,Serie A,FC Twente,Eredivisie,12-13,4500000,6000000
Alex,Midfielder,30,Corinthians,Série A,Al Gharafa,Stars League,12-13,3500000,6000000
Joselu,Forward,22,RM Castilla,LaLiga2,TSG Hoffenheim,1.Bundesliga,12-13,NA,6000000
Danny Graham,Forward,27,Swansea,Premier League,Sunderland,Premier League,12-13,4000000,5800000
André,Forward,21,Dynamo Kyiv,Premier Liga,Atlético-MG,Série A,12-13,2500000,5800000
Steven Pienaar,Midfielder,30,Spurs,Premier League,Everton,Premier League,12-13,7000000,5750000
Elkeson,Forward,23,Botafogo,Série A,GZ Evergrande,Super League,12-13,3000000,5700000
Marquinhos,Defender,18,Corinthians,Série A,AS Roma,Serie A,12-13,750000,5700000
Julian Schieber,Forward,23,VfB Stuttgart,1.Bundesliga,Bor. Dortmund,1.Bundesliga,12-13,8000000,5500000
Eren Derdiyok,Forward,24,Bay. Leverkusen,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,12-13,7500000,5500000
Dusan Tadic,Midfielder,23,FC Groningen,Eredivisie,FC Twente,Eredivisie,12-13,7500000,5500000
Eljero Elia,Midfielder,25,Juventus,Serie A,Werder Bremen,1.Bundesliga,12-13,5000000,5500000
Ángelo Henríquez,Forward,18,U. de Chile,Primera División,Man Utd,Premier League,12-13,150000,5500000
Ewerton,Defender,23,Coimbra-MG, Brazil,Anzhi,Premier Liga,12-13,5500000,5400000
Wallace Oliveira,Defender,18,Fluminense,Série A,Chelsea,Premier League,12-13,2000000,5400000
Ezequiel Schelotto,Defender,23,Atalanta,Serie A,Inter,Serie A,12-13,6500000,5300000
Maicosuel,Midfielder,26,Botafogo,Série A,Udinese Calcio,Serie A,12-13,2500000,5300000
Diego Tardelli,Forward,27,Al Gharafa,Stars League,Atlético-MG,Série A,12-13,2000000,5250000
Marko Livaja,Forward,19,Inter,Serie A,Atalanta,Serie A,12-13,1800000,5050000
Burak Yilmaz,Forward,27,Trabzonspor,Süper Lig,Galatasaray,Süper Lig,12-13,12000000,5000000
Dimitar Berbatov,Forward,31,Man Utd,Premier League,Fulham,Premier League,12-13,11500000,5000000
Antonio Cassano,Forward,30,AC Milan,Serie A,Inter,Serie A,12-13,10000000,5000000
Bruno César,Midfielder,24,Benfica,Liga NOS,Ahli,Professional League,12-13,9000000,5000000
Lassana Diarra,Midfielder,27,Real Madrid,LaLiga,Anzhi,Premier Liga,12-13,8000000,5000000
Dedé,Defender,24,Vasco da Gama,Série A,Cruzeiro,Série A,12-13,7500000,5000000
Paulinho,Midfielder,24,Coimbra-MG, Brazil,Corinthians,Série A,12-13,7500000,5000000
Marko Devic,Forward,28,Metalist,Premier Liga,Shakhtar D.,Premier Liga,12-13,7000000,5000000
Youssef El Arabi,Forward,25,Hilal,Professional League,Granada CF,LaLiga,12-13,6500000,5000000
Germán Denis,Forward,30,Udinese Calcio,Serie A,Atalanta,Serie A,12-13,5500000,5000000
Alain Traoré,Midfielder,23,AJ Auxerre,Ligue 2,FC Lorient,Ligue 1,12-13,5000000,5000000
Ben Foster,Goalkeeper,29,Birmingham,Championship,West Brom,Premier League,12-13,5000000,5000000
Daniel Congré,Defender,27,Toulouse,Ligue 1,Montpellier,Ligue 1,12-13,4500000,5000000
Dame N'Doye,Forward,27,FC Copenhagen,Superligaen,Loko Moscow,Premier Liga,12-13,4500000,5000000
Domagoj Vida,Defender,23,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Premier Liga,12-13,4000000,5000000
Iván Marcano,Defender,25,Villarreal CF,LaLiga2,Rubin Kazan,Premier Liga,12-13,3750000,5000000
Alexander Büttner,Defender,23,Vitesse,Eredivisie,Man Utd,Premier League,12-13,3000000,5000000
Leandro Castán,Defender,25,Corinthians,Série A,AS Roma,Serie A,12-13,2500000,5000000
Daniel Carvajal,Defender,20,RM Castilla,LaLiga2,Bay. Leverkusen,1.Bundesliga,12-13,NA,5000000
Naldo,Defender,29,Werder Bremen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,12-13,6500000,4800000
Dante,Defender,28,Bor. M'gladbach,1.Bundesliga,Bayern Munich ,1.Bundesliga,12-13,8000000,4700000
Alfred N'Diaye,Midfielder,22,Bursaspor,Süper Lig,Sunderland,Premier League,12-13,3800000,4700000
Junior Fernandes,Midfielder,24,U. de Chile,Primera División,Bay. Leverkusen,1.Bundesliga,12-13,800000,4700000
Salvatore Bocchetti,Defender,26,Rubin Kazan,Premier Liga,Spartak Moscow,Premier Liga,12-13,13000000,4500000
Federico Balzaretti,Defender,30,US Palermo,Serie A,AS Roma,Serie A,12-13,8500000,4500000
Jonathan Biabiany,Midfielder,24,Sampdoria,Serie A,Parma,Serie A,12-13,8000000,4500000
Mehmet Topal,Midfielder,26,Valencia CF,LaLiga,Fenerbahce,Süper Lig,12-13,8000000,4500000
Giovanni Moreno,Midfielder,26,Racing Club,Torneo Final,SH Shenhua,Super League,12-13,4500000,4500000
Fernandinho,Midfielder,26,Desp. Brasil, Brazil,Al-Jazira,UAE Gulf League,12-13,1000000,4500000
Bryan Oviedo,Defender,22,FC Copenhagen,Superligaen,Everton,Premier League,12-13,800000,4500000
Steven Nzonzi,Midfielder,23,Blackburn,Championship,Stoke City,Premier League,12-13,4500000,4400000
Hanchao Yu,Midfielder,25,Liaoning FC,Super League,DL Yifang,Super League,12-13,250000,4300000
Youssef Msakni,Midfielder,22,Esperance,Ligue I Pro,Al Duhail,Stars League,12-13,2750000,4250000
Nenad Tomovic,Defender,25,Genoa,Serie A,Fiorentina,Serie A,12-13,1300000,4200000
Luciano Narsingh,Midfielder,21,Heerenveen,Eredivisie,PSV Eindhoven,Eredivisie,12-13,7000000,4100000
Lima,Forward,29,Braga,Liga NOS,Benfica,Liga NOS,12-13,8000000,4000000
Oussama Assaidi,Midfielder,24,Heerenveen,Eredivisie,Liverpool,Premier League,12-13,7000000,4000000
Ciro Immobile,Forward,22,Juventus,Serie A,Genoa,Serie A,12-13,6500000,4000000
Emmanuel Mayuka,Forward,21,BSC Young Boys,Super League,Southampton,Premier League,12-13,6000000,4000000
Petr Jiracek,Midfielder,26,VfL Wolfsburg,1.Bundesliga,Hamburger SV,1.Bundesliga,12-13,6000000,4000000
Issiar Dia,Midfielder,25,Fenerbahce,Süper Lig,Al Duhail,Stars League,12-13,5000000,4000000
Delvin N'Dinga,Midfielder,24,AJ Auxerre,Ligue 2,Monaco,Ligue 2,12-13,5000000,4000000
Niklas Moisander,Defender,26,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,12-13,5000000,4000000
Richmond Boakye,Forward,19,Genoa,Serie A,Juventus,Serie A,12-13,5000000,4000000
Chinedu Obasi,Midfielder,26,TSG Hoffenheim,1.Bundesliga,FC Schalke 04,1.Bundesliga,12-13,4500000,4000000
Benjamin Corgnet,Midfielder,25,Dijon,Ligue 2,FC Lorient,Ligue 1,12-13,4500000,4000000
Samba Diakité,Midfielder,23,AS Nancy,Ligue 1,QPR,Premier League,12-13,4500000,4000000
Emmanuel Rivière,Forward,22,Toulouse,Ligue 1,Monaco,Ligue 2,12-13,4500000,4000000
Romain Hamouma,Midfielder,25,SM Caen,Ligue 2,Saint-Étienne,Ligue 1,12-13,4500000,4000000
Francesco Acerbi,Defender,24,Chievo Verona,Serie A,AC Milan,Serie A,12-13,4500000,4000000
Milan Badelj,Midfielder,23,Dinamo Zagreb,1.HNL,Hamburger SV,1.Bundesliga,12-13,4500000,4000000
Vladislav Ignatjev,Midfielder,25,Loko Moscow,Premier Liga,Krasnodar,Premier Liga,12-13,4000000,4000000
Francesco Acerbi,Defender,24,AC Milan,Serie A,Genoa,Serie A,12-13,4000000,4000000
Willian,Forward,25,Coimbra-MG, Brazil,Metalist,Premier Liga,12-13,3000000,4000000
David Abraham,Defender,26,Getafe CF,LaLiga,TSG Hoffenheim,1.Bundesliga,12-13,3000000,4000000
Geoffrey Kondogbia,Midfielder,19,Lens,Ligue 2,Sevilla FC,LaLiga,12-13,3000000,4000000
Dorlan Pabón,Forward,24,Atl. Nacional,Liga Águila II,Parma,Serie A,12-13,2800000,4000000
Sadio Diallo,Midfielder,21,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,12-13,2500000,4000000
Ibrahima Baldé,Forward,23,CA Osasuna,LaLiga,Kuban Krasnodar,Premier Liga,12-13,2500000,4000000
Gabriel Silva,Defender,21,Granada CF,LaLiga,Udinese Calcio,Serie A,12-13,2500000,4000000
Marcos Rojo,Defender,22,Spartak Moscow,Premier Liga,Sporting CP,Liga NOS,12-13,2000000,4000000
Valentín Viola,Midfielder,20,Racing Club,Torneo Final,Sporting CP,Liga NOS,12-13,1400000,4000000
Ismaily,Defender,23,Braga,Liga NOS,Shakhtar D.,Premier Liga,12-13,1300000,4000000
Andrey Eshchenko,Defender,28,Loko Moscow,Premier Liga,Anzhi,Premier Liga,12-13,1200000,4000000
Sadio Mané,Midfielder,20,FC Metz,Championnat National,RB Salzburg,Bundesliga,12-13,500000,4000000
Arouna Koné,Forward,28,Levante UD,LaLiga,Wigan,Premier League,12-13,7000000,3800000
Ron Vlaar,Defender,27,Feyenoord,Eredivisie,Aston Villa,Premier League,12-13,6000000,3800000
Bakary Sako,Midfielder,24,Saint-Étienne,Ligue 1,Wolves,Championship,12-13,5000000,3800000
Nicola Leali,Goalkeeper,19,Brescia,Serie B,Juventus,Serie A,12-13,3500000,3800000
Leon Best,Forward,25,Newcastle,Premier League,Blackburn,Championship,12-13,3000000,3800000
Adrian Mariappa,Defender,25,Watford,Championship,Reading,Premier League,12-13,2000000,3800000
Jack Butland,Goalkeeper,19,Birmingham,Championship,Stoke City,Premier League,12-13,1000000,3800000
Alexis Rolín,Defender,23,Nacional,Primera División,Catania,Serie A,12-13,900000,3800000
Maicon,Defender,31,Inter,Serie A,Man City,Premier League,12-13,14500000,3750000
Junior Hoilett,Midfielder,22,Blackburn,Championship,QPR,Premier League,12-13,9000000,3750000
Hasan Ali Kaldirim,Defender,22,Kayserispor,Süper Lig,Fenerbahce,Süper Lig,12-13,4000000,3750000
Michael Bradley,Midfielder,24,Chievo Verona,Serie A,AS Roma,Serie A,12-13,3500000,3750000
Matthew Lowton,Defender,23,Sheffield Utd.,League One,Aston Villa,Premier League,12-13,3500000,3750000
Josef,Midfielder,23,FC Porto,Liga NOS,Grêmio,Série A,12-13,2500000,3750000
João Pereira,Defender,28,Sporting CP,Liga NOS,Valencia CF,LaLiga,12-13,10500000,3700000
Ante Vukusic,Forward,21,Hajduk Split,1.HNL,Pescara,Serie A,12-13,5000000,3700000
Jirès Kembo-Ekoko,Midfielder,24,Stade Rennais,Ligue 1,Al-Ain FC,UAE Gulf League,12-13,4000000,3700000
Jonathas,Forward,23,Brescia,Serie B,Pescara,Serie A,12-13,2000000,3700000
Luís Neto,Defender,24,Nacional,Liga NOS,Siena,Serie A,12-13,3000000,3650000
Andrea Rossi,Defender,25,Siena,Serie A,Parma,Serie A,12-13,300000,3600000
Barreto,Forward,27,Udinese Calcio,Serie A,Torino,Serie A,12-13,2000000,3550000
Nigel de Jong,Midfielder,27,Man City,Premier League,AC Milan,Serie A,12-13,13000000,3500000
Emiliano Insúa,Defender,24,Sporting CP,Liga NOS,Atlético Madrid,LaLiga,12-13,10000000,3500000
Sokratis,Defender,24,Genoa,Serie A,Werder Bremen,1.Bundesliga,12-13,10000000,3500000
Diego López,Goalkeeper,30,Villarreal CF,LaLiga2,Sevilla FC,LaLiga,12-13,8000000,3500000
Zvjezdan Misimovic,Midfielder,30,Dinamo Moscow,Premier Liga,BJ Renhe,Super League,12-13,6500000,3500000
Fernando Gago,Midfielder,26,Real Madrid,LaLiga,Valencia CF,LaLiga,12-13,6500000,3500000
Anthony Mounier,Midfielder,24,OGC Nice,Ligue 1,Montpellier,Ligue 1,12-13,6000000,3500000
Paolo Guerrero,Forward,28,Hamburger SV,1.Bundesliga,Corinthians,Série A,12-13,6000000,3500000
Artjoms Rudnevs,Forward,24,Lech Poznan,Ekstraklasa,Hamburger SV,1.Bundesliga,12-13,5500000,3500000
Hamit Altintop,Midfielder,29,Real Madrid,LaLiga,Galatasaray,Süper Lig,12-13,5000000,3500000
Mattia Cassani,Defender,28,US Palermo,Serie A,Fiorentina,Serie A,12-13,4500000,3500000
Marquinho,Midfielder,26,Fluminense,Série A,AS Roma,Serie A,12-13,4500000,3500000
Éder,Forward,25,RC Cesena,Serie B,Sampdoria,Serie A,12-13,4000000,3500000
Razak Boukari,Midfielder,25,Stade Rennais,Ligue 1,Wolves,Championship,12-13,3500000,3500000
Gareth Bale,Midfielder,24,Spurs,Premier League,Real Madrid,LaLiga,13-14,65000000,101000000
Neymar,Midfielder,21,Santos FC,Série A,FC Barcelona,LaLiga,13-14,50000000,88200000
Edinson Cavani,Forward,26,SSC Napoli,Serie A,Paris SG,Ligue 1,13-14,55000000,64500000
Mesut Özil,Midfielder,24,Real Madrid,LaLiga,Arsenal,Premier League,13-14,40000000,47000000
James Rodríguez,Midfielder,21,FC Porto,Liga NOS,Monaco,Ligue 1,13-14,23000000,45000000
Juan Mata,Midfielder,25,Chelsea,Premier League,Man Utd,Premier League,13-14,38000000,44730000
Falcao,Forward,27,Atlético Madrid,LaLiga,Monaco,Ligue 1,13-14,60000000,43000000
Fernandinho,Midfielder,28,Shakhtar D.,Premier Liga,Man City,Premier League,13-14,32000000,40000000
Gonzalo Higuaín,Forward,25,Real Madrid,LaLiga,SSC Napoli,Serie A,13-14,30000000,39000000
Mario Götze,Midfielder,21,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,13-14,45000000,37000000
Willian,Midfielder,25,Anzhi,Premier Liga,Chelsea,Premier League,13-14,30000000,35500000
Marouane Fellaini,Midfielder,25,Everton,Premier League,Man Utd,Premier League,13-14,28000000,32400000
Asier Illarramendi,Midfielder,23,Real Sociedad,LaLiga,Real Madrid,LaLiga,13-14,12000000,32000000
Marquinhos,Defender,19,AS Roma,Serie A,Paris SG,Ligue 1,13-14,15000000,31400000
Roberto Soldado,Forward,28,Valencia CF,LaLiga,Spurs,Premier League,13-14,28000000,30000000
Isco,Midfielder,21,Málaga CF,LaLiga,Real Madrid,LaLiga,13-14,25000000,30000000
Érik Lamela,Midfielder,21,AS Roma,Serie A,Spurs,Premier League,13-14,23000000,30000000
Henrikh Mkhitaryan,Midfielder,24,Shakhtar D.,Premier Liga,Bor. Dortmund,1.Bundesliga,13-14,22000000,27500000
Stevan Jovetic,Forward,23,Fiorentina,Serie A,Man City,Premier League,13-14,28000000,26000000
João Moutinho,Midfielder,26,FC Porto,Liga NOS,Monaco,Ligue 1,13-14,30000000,25000000
Nemanja Matic,Midfielder,25,Benfica,Liga NOS,Chelsea,Premier League,13-14,27000000,25000000
Thiago,Midfielder,22,FC Barcelona,LaLiga,Bayern Munich ,1.Bundesliga,13-14,22000000,25000000
Álvaro Negredo,Forward,27,Sevilla FC,LaLiga,Man City,Premier League,13-14,20000000,25000000
Yohan Cabaye,Midfielder,28,Newcastle,Premier League,Paris SG,Ligue 1,13-14,20000000,25000000
Bernard,Midfielder,20,Atlético-MG,Série A,Shakhtar D.,Premier Liga,13-14,10000000,25000000
André Schürrle,Midfielder,22,Bay. Leverkusen,1.Bundesliga,Chelsea,Premier League,13-14,25000000,22000000
Kevin De Bruyne,Midfielder,22,Chelsea,Premier League,VfL Wolfsburg,1.Bundesliga,13-14,15000000,22000000
Jesús Navas,Midfielder,27,Sevilla FC,LaLiga,Man City,Premier League,13-14,20000000,20000000
Juan Cuadrado,Midfielder,25,Udinese Calcio,Serie A,Fiorentina,Serie A,13-14,15000000,20000000
Geoffrey Kondogbia,Midfielder,20,Sevilla FC,LaLiga,Monaco,Ligue 1,13-14,15000000,20000000
Paulinho,Midfielder,24,Corinthians,Série A,Spurs,Premier League,13-14,12000000,19730000
Aleksandr Kokorin,Forward,22,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,13-14,15000000,19000000
Mamadou Sakho,Defender,23,Paris SG,Ligue 1,Liverpool,Premier League,13-14,15000000,19000000
Aleksandr Kokorin,Forward,22,Dinamo Moscow,Premier Liga,Anzhi,Premier Liga,13-14,12000000,19000000
Hernanes,Midfielder,28,Lazio,Serie A,Inter,Serie A,13-14,22000000,18000000
José Salomón Rondón,Forward,24,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,13-14,11000000,18000000
Kevin Strootman,Midfielder,23,PSV Eindhoven,Eredivisie,AS Roma,Serie A,13-14,13000000,17500000
Andy Carroll,Forward,24,Liverpool,Premier League,West Ham,Premier League,13-14,11000000,17500000
Mohamed Salah,Midfielder,21,FC Basel,Super League,Chelsea,Premier League,13-14,8500000,16500000
Luiz Gustavo,Midfielder,26,Bayern Munich ,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,13-14,18000000,16000000
Wilfried Bony,Forward,24,Vitesse,Eredivisie,Swansea,Premier League,13-14,12000000,16000000
Mario Gómez,Forward,28,Bayern Munich ,1.Bundesliga,Fiorentina,Serie A,13-14,28000000,15500000
James McCarthy,Midfielder,22,Wigan,Championship,Everton,Premier League,13-14,7500000,15300000
Konstantinos Mitroglou,Forward,25,Olympiacos,Super League,Fulham,Premier League,13-14,7200000,15200000
Daniel Osvaldo,Forward,27,AS Roma,Serie A,Southampton,Premier League,13-14,17000000,15100000
Igor Denisov,Midfielder,29,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,13-14,16000000,15000000
Igor Denisov,Midfielder,29,Zenit S-Pb,Premier Liga,Anzhi,Premier Liga,13-14,16000000,15000000
Moubarak Boussoufa,Midfielder,29,Anzhi,Premier Liga,Loko Moscow,Premier Liga,13-14,14000000,15000000
Angelo Ogbonna,Defender,25,Torino,Serie A,Juventus,Serie A,13-14,12000000,15000000
Lucas Digne,Defender,20,LOSC Lille,Ligue 1,Paris SG,Ligue 1,13-14,10000000,15000000
Fred,Midfielder,20,Internacional,Série A,Shakhtar D.,Premier Liga,13-14,5000000,15000000
Kurt Zouma,Defender,19,Saint-Étienne,Ligue 1,Chelsea,Premier League,13-14,7500000,14600000
Victor Wanyama,Midfielder,22,Celtic,Premiership,Southampton,Premier League,13-14,5000000,14500000
Pizzi,Midfielder,23,Atlético Madrid,LaLiga,Benfica,Liga NOS,13-14,6000000,14000000
Christian Eriksen,Midfielder,21,AFC Ajax,Eredivisie,Spurs,Premier League,13-14,18000000,13500000
Medhi Benatia,Defender,26,Udinese Calcio,Serie A,AS Roma,Serie A,13-14,13000000,13500000
Leandro Damião,Forward,24,Internacional,Série A,Santos FC,Série A,13-14,22000000,13000000
Pierre-Emerick Aubameyang,Forward,24,Saint-Étienne,Ligue 1,Bor. Dortmund,1.Bundesliga,13-14,15000000,13000000
Emmanuel Emenike,Forward,26,Spartak Moscow,Premier Liga,Fenerbahce,Süper Lig,13-14,12000000,13000000
Mauro Icardi,Forward,20,Sampdoria,Serie A,Inter,Serie A,13-14,12000000,13000000
Gary Medel,Midfielder,26,Sevilla FC,LaLiga,Cardiff,Premier League,13-14,10000000,13000000
Bojan Krkic,Forward,22,AS Roma,Serie A,FC Barcelona,LaLiga,13-14,8000000,13000000
Bruma,Midfielder,18,Sporting CP,Liga NOS,Galatasaray,Süper Lig,13-14,2500000,13000000
Lassana Diarra,Midfielder,28,Anzhi,Premier Liga,Loko Moscow,Premier Liga,13-14,14000000,12000000
Vágner Love,Forward,29,CSKA Moscow,Premier Liga,SD Luneng,Super League,13-14,12000000,12000000
Adem Ljajic,Midfielder,21,Fiorentina,Serie A,AS Roma,Serie A,13-14,12000000,12000000
Raúl Albiol,Defender,27,Real Madrid,LaLiga,SSC Napoli,Serie A,13-14,8000000,12000000
Florian Thauvin,Midfielder,20,LOSC Lille,Ligue 1,Marseille,Ligue 1,13-14,6000000,12000000
Christian Benítez,Forward,27,América,Liga MX Clausura,El-Jaish,Stars League,13-14,8000000,11700000
Christopher Samba,Defender,29,QPR,Championship,Anzhi,Premier Liga,13-14,11000000,11600000
Manolo Gabbiadini,Forward,21,Juventus,Serie A,Sampdoria,Serie A,13-14,7000000,11500000
Étienne Capoue,Midfielder,25,Toulouse,Ligue 1,Spurs,Premier League,13-14,13000000,11000000
Alessandro Matri,Forward,29,Juventus,Serie A,AC Milan,Serie A,13-14,11000000,11000000
Yuri Zhirkov,Midfielder,30,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,13-14,11000000,11000000
Dieumerci Mbokani,Forward,27,RSC Anderlecht,Jupiler Pro League,Dynamo Kyiv,Premier Liga,13-14,10000000,11000000
Fernando,Midfielder,21,Grêmio,Série A,Shakhtar D.,Premier Liga,13-14,10000000,11000000
Héctor Herrera,Midfielder,23,CF Pachuca,Liga MX Clausura,FC Porto,Liga NOS,13-14,6000000,11000000
Iago Aspas,Midfielder,25,Celta de Vigo,LaLiga,Liverpool,Premier League,13-14,9000000,10800000
Simon Mignolet,Goalkeeper,25,Sunderland,Premier League,Liverpool,Premier League,13-14,5500000,10600000
Lacina Traoré,Forward,23,Anzhi,Premier Liga,Monaco,Ligue 1,13-14,16000000,10000000
Kevin-Prince Boateng,Midfielder,26,AC Milan,Serie A,FC Schalke 04,1.Bundesliga,13-14,15000000,10000000
Younès Belhanda,Midfielder,23,Montpellier,Ligue 1,Dynamo Kyiv,Premier Liga,13-14,14000000,10000000
Heung-min Son,Midfielder,20,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,13-14,14000000,10000000
Christopher Samba,Defender,29,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,13-14,11000000,10000000
Ricky van Wolfswinkel,Forward,24,Sporting CP,Liga NOS,Norwich,Premier League,13-14,10500000,10000000
Carlos Bacca,Forward,26,Club Brugge,Jupiler Pro League,Sevilla FC,LaLiga,13-14,8000000,10000000
Juan Quintero,Midfielder,20,Pescara,Serie B,FC Porto,Liga NOS,13-14,7000000,10000000
Lazar Markovic,Midfielder,19,Partizan,SuperLiga,Benfica,Liga NOS,13-14,7000000,10000000
Dejan Lovren,Defender,24,Olympique Lyon,Ligue 1,Southampton,Premier League,13-14,7000000,10000000
Josuha Guilavogui,Midfielder,22,Saint-Étienne,Ligue 1,Atlético Madrid,LaLiga,13-14,6500000,10000000
Jozy Altidore,Forward,23,AZ Alkmaar,Eredivisie,Sunderland,Premier League,13-14,5000000,10000000
Simone Zaza,Forward,22,Juventus,Serie A,Sassuolo,Serie A,13-14,4500000,10000000
